,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
24,0.75026,0.0,8.14,0.0,0.5379999999999999,5.9239999999999995,94.1,4.3996,4,307,21.0,16.3,15.6
25,0.84054,0.0,8.14,0.0,0.5379999999999999,5.599,85.7,4.4546,4,307,21.0,16.51,13.9
26,0.67191,0.0,8.14,0.0,0.5379999999999999,5.813,90.3,4.6819999999999995,4,307,21.0,14.81,16.6
27,0.9557700000000001,0.0,8.14,0.0,0.5379999999999999,6.047000000000001,88.8,4.4534,4,307,21.0,17.28,14.8
28,0.77299,0.0,8.14,0.0,0.5379999999999999,6.495,94.4,4.4547,4,307,21.0,12.8,18.4
29,1.00245,0.0,8.14,0.0,0.5379999999999999,6.6739999999999995,87.3,4.239,4,307,21.0,11.98,21.0
30,1.13081,0.0,8.14,0.0,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4,307,21.0,22.6,12.7
31,1.3547200000000001,0.0,8.14,0.0,0.5379999999999999,6.072,100.0,4.175,4,307,21.0,13.04,14.5
32,1.38799,0.0,8.14,0.0,0.5379999999999999,5.95,82.0,3.99,4,307,21.0,27.71,13.2
33,1.15172,0.0,8.14,0.0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4,307,21.0,18.35,13.1
34,1.6128200000000001,0.0,8.14,0.0,0.5379999999999999,6.096,96.9,3.7598,4,307,21.0,20.34,13.5
35,0.06417,0.0,5.96,0.0,0.499,5.933,68.2,3.3603,5,279,19.2,,18.9
36,0.09744,0.0,,0.0,0.499,5.841,61.4,3.3779,5,279,19.2,11.41,20.0
37,0.08014,0.0,5.96,0.0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21.0
38,0.17505,0.0,5.96,0.0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13,24.7
39,0.027630000000000002,75.0,2.95,0.0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32,30.8
40,0.033589999999999995,75.0,2.95,0.0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98,34.9
41,0.12744,0.0,6.91,0.0,0.44799999999999995,6.77,2.9,5.7209,3,233,17.9,4.84,26.6
42,0.1415,0.0,6.91,0.0,0.44799999999999995,6.169,6.6,5.7209,3,233,17.9,5.81,25.3
43,0.15936,0.0,6.91,,0.44799999999999995,6.211,6.5,5.7209,3,233,17.9,7.44,24.7
44,0.12269000000000001,0.0,6.91,0.0,0.44799999999999995,6.069,40.0,5.7209,3,233,17.9,9.55,21.2
45,0.17142000000000002,0.0,6.91,0.0,0.44799999999999995,5.682,33.8,5.1004,3,233,17.9,10.21,19.3
46,0.18836,0.0,6.91,0.0,0.44799999999999995,5.7860000000000005,33.3,5.1004,3,233,17.9,14.15,20.0
47,0.22926999999999997,0.0,,0.0,0.44799999999999995,6.03,85.5,5.6894,3,233,17.9,18.8,16.6
48,0.25387,0.0,6.91,0.0,0.44799999999999995,5.399,95.3,5.87,3,233,17.9,30.81,14.4
49,0.21977,0.0,6.91,0.0,0.44799999999999995,5.602,62.0,6.0877,3,233,17.9,16.2,19.4
50,0.08872999999999999,21.0,5.64,0.0,0.439,5.962999999999999,45.7,6.8147,4,243,16.8,13.45,19.7
51,0.04337,21.0,,0.0,0.439,6.115,63.0,6.8147,4,243,16.8,9.43,20.5
52,0.0536,21.0,5.64,0.0,0.439,6.511,21.1,6.8147,4,243,16.8,5.28,25.0
53,,21.0,5.64,0.0,0.439,5.997999999999999,21.4,6.8147,4,243,16.8,8.43,23.4
54,0.0136,75.0,4.0,0.0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,18.9
55,0.01311,90.0,1.22,0.0,0.40299999999999997,7.249,21.9,8.6966,5,226,17.9,4.81,35.4
56,0.02055,85.0,0.74,0.0,0.41,6.382999999999999,35.7,9.1876,2,313,17.3,5.77,24.7
57,0.01432,100.0,1.32,0.0,0.41100000000000003,6.816,40.5,8.3248,5,256,15.1,3.95,31.6
58,0.15445,25.0,5.13,0.0,0.45299999999999996,6.145,29.2,7.8148,8,284,19.7,6.86,23.3
59,0.10328,25.0,5.13,0.0,0.45299999999999996,5.9270000000000005,47.2,6.932,8,284,19.7,9.22,19.6
60,0.14932,25.0,5.13,0.0,0.45299999999999996,5.7410000000000005,66.2,7.2254,8,284,19.7,13.15,18.7
61,0.17171,25.0,5.13,0.0,0.45299999999999996,5.966,93.4,6.8185,8,284,19.7,14.44,16.0
62,0.11027,25.0,5.13,0.0,0.45299999999999996,6.456,67.8,7.2255,8,284,19.7,6.73,22.2
63,0.1265,25.0,5.13,0.0,0.45299999999999996,6.7620000000000005,43.4,7.9809,8,284,19.7,9.5,25.0
64,0.01951,17.5,1.38,0.0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33.0
65,0.03584,80.0,3.37,0.0,0.39799999999999996,6.29,17.8,6.6115,4,337,16.1,4.67,23.5
66,0.043789999999999996,80.0,3.37,0.0,0.39799999999999996,5.787000000000001,31.1,6.6115,4,337,16.1,10.24,19.4
67,0.05789,12.5,6.07,0.0,0.409,5.877999999999999,21.4,6.497999999999999,4,345,18.9,8.1,22.0
68,0.13554000000000002,12.5,6.07,0.0,0.409,5.593999999999999,36.8,6.497999999999999,4,345,18.9,13.09,17.4
69,0.12816,12.5,6.07,0.0,0.409,5.885,33.0,6.497999999999999,4,345,18.9,8.79,20.9
70,0.08826,0.0,10.81,0.0,0.413,6.417000000000001,6.6,5.2873,4,305,19.2,6.72,24.2
71,0.15875999999999998,0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4,305,19.2,9.88,21.7
72,0.09164,0.0,10.81,0.0,0.413,6.065,7.8,5.2873,4,305,19.2,5.52,22.8
73,0.19539,0.0,10.81,0.0,0.413,6.245,6.2,5.2873,4,305,19.2,,23.4
74,0.07896,0.0,12.83,0.0,0.43700000000000006,6.273,,4.2515,5,398,18.7,6.78,24.1
75,0.09512000000000001,0.0,12.83,0.0,0.43700000000000006,6.2860000000000005,45.0,4.5026,5,398,18.7,8.94,21.4
76,0.10153,0.0,12.83,0.0,0.43700000000000006,6.279,74.5,4.0522,5,398,18.7,11.97,20.0
77,0.08707000000000001,0.0,12.83,0.0,0.43700000000000006,6.14,45.8,4.0905,5,398,18.7,10.27,20.8
78,0.05646,0.0,12.83,0.0,0.43700000000000006,6.232,53.7,5.0141,5,398,18.7,12.34,21.2
79,0.08387,0.0,12.83,0.0,0.43700000000000006,5.874,36.6,4.5026,5,398,18.7,,20.3
80,0.04113,25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4,281,19.0,5.29,28.0
81,0.04462,25.0,4.86,0.0,0.426,6.619,70.4,5.4007,4,281,19.0,7.22,23.9
82,0.03659,25.0,4.86,0.0,0.426,6.3020000000000005,32.2,5.4007,4,281,19.0,6.72,24.8
83,0.03551,25.0,4.86,0.0,0.426,6.167000000000001,46.7,5.4007,4,281,19.0,7.51,22.9
84,0.050589999999999996,0.0,4.49,0.0,0.449,6.388999999999999,48.0,4.7794,3,247,18.5,9.62,23.9
85,0.05735,0.0,4.49,0.0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6
86,0.051879999999999996,0.0,4.49,0.0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,22.5
87,0.07151,0.0,4.49,0.0,0.449,6.121,56.8,3.7476,3,247,18.5,,22.2
88,0.0566,0.0,3.41,0.0,0.489,7.007000000000001,86.3,3.4217,2,270,17.8,5.5,23.6
89,0.053020000000000005,0.0,3.41,0.0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,28.7
90,0.04684,0.0,3.41,0.0,0.489,6.417000000000001,66.1,3.0923,2,270,17.8,8.81,22.6
91,0.03932,0.0,3.41,0.0,0.489,6.405,73.9,3.0921,2,270,17.8,8.2,22.0
92,0.04203,,15.04,0.0,0.46399999999999997,6.442,53.6,3.6659,4,270,18.2,8.16,22.9
93,0.02875,28.0,15.04,0.0,0.46399999999999997,6.211,28.9,3.6659,4,270,18.2,6.21,25.0
94,0.04294,28.0,15.04,0.0,0.46399999999999997,6.249,77.3,3.615,4,270,18.2,10.59,20.6
95,0.12204000000000001,0.0,2.89,0.0,0.445,6.625,57.8,3.4952,2,276,18.0,6.65,28.4
96,0.11504,0.0,2.89,0.0,0.445,6.162999999999999,69.6,3.4952,2,276,18.0,11.34,21.4
97,0.12082999999999999,0.0,2.89,0.0,0.445,8.068999999999999,76.0,3.4952,2,276,18.0,4.21,38.7
98,0.08187,0.0,2.89,0.0,0.445,7.82,36.9,3.4952,2,276,18.0,3.57,43.8
99,0.0686,0.0,2.89,0.0,0.445,7.416,62.5,3.4952,2,276,18.0,6.19,33.2
100,0.14866,0.0,8.56,0.0,0.52,6.727,79.9,2.7778,5,384,20.9,9.42,27.5
101,0.11432,0.0,8.56,0.0,0.52,6.781000000000001,71.3,2.8561,5,384,20.9,7.67,26.5
102,0.22876,0.0,8.56,0.0,0.52,6.405,85.4,2.7147,5,384,20.9,10.63,18.6
103,0.21161,0.0,8.56,0.0,0.52,6.1370000000000005,,2.7147,5,384,20.9,13.44,19.3
104,0.1396,0.0,8.56,0.0,0.52,6.167000000000001,90.0,2.421,5,384,20.9,12.33,20.1
105,0.13262000000000002,0.0,8.56,0.0,0.52,5.851,96.7,2.1069,5,384,20.9,16.47,19.5
106,0.1712,0.0,8.56,0.0,0.52,5.836,91.9,2.211,5,384,20.9,18.66,19.5
107,0.13117,0.0,8.56,0.0,0.52,6.127000000000001,85.2,2.1224,5,384,20.9,14.09,20.4
108,0.12802,0.0,8.56,0.0,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,19.8
109,0.26363000000000003,0.0,8.56,0.0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4
110,0.10793,0.0,8.56,0.0,0.52,6.195,54.4,2.7778,5,384,20.9,13.0,21.7
111,0.10084,0.0,10.01,0.0,0.547,6.715,81.6,2.6775,6,432,17.8,10.16,22.8
112,0.12329000000000001,0.0,10.01,0.0,0.547,5.912999999999999,92.9,2.3534,6,432,17.8,16.21,18.8
113,0.22211999999999998,0.0,10.01,0.0,0.547,6.0920000000000005,95.4,2.548,6,432,17.8,17.09,18.7
114,0.14231,0.0,10.01,0.0,0.547,6.254,84.2,2.2565,6,432,17.8,10.45,18.5
115,,0.0,10.01,0.0,0.547,5.928,88.2,2.4631,6,432,17.8,15.76,18.3
116,0.13158,0.0,10.01,0.0,0.547,6.176,72.5,2.7301,6,432,17.8,,21.2
117,0.15098,0.0,10.01,0.0,0.547,6.021,82.6,2.7474,6,432,17.8,10.3,19.2
118,0.13058,,10.01,0.0,0.547,5.872000000000001,73.1,2.4775,6,432,17.8,15.37,20.4
119,0.14476,0.0,10.01,,0.547,5.731,65.2,2.7592,6,432,17.8,13.61,19.3
120,0.06899,0.0,25.65,0.0,0.581,5.87,69.7,2.2577,2,188,19.1,14.37,22.0
121,0.07165,0.0,25.65,0.0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,20.3
122,0.09299,0.0,25.65,0.0,0.581,5.961,92.9,2.0869,2,188,19.1,17.93,20.5
123,0.15037999999999999,0.0,,0.0,0.581,5.856,97.0,1.9444,2,188,19.1,25.41,17.3
124,0.09849,0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2,188,19.1,17.58,18.8
125,0.16902,0.0,25.65,0.0,0.581,5.986000000000001,88.4,1.9929,2,188,19.1,14.81,21.4
126,0.38735,0.0,25.65,0.0,0.581,5.6129999999999995,,1.7572,2,188,19.1,27.26,15.7
127,0.25915,0.0,21.89,0.0,0.624,5.693,96.0,1.7883,4,437,21.2,17.19,16.2
128,0.32543,0.0,21.89,0.0,0.624,6.431,98.8,1.8125,4,437,21.2,15.39,18.0
129,0.88125,0.0,21.89,0.0,0.624,5.6370000000000005,94.7,1.9799,4,437,21.2,18.34,14.3
130,0.34006,0.0,21.89,0.0,0.624,6.457999999999999,98.9,2.1185,4,437,21.2,12.6,19.2
131,1.19294,0.0,21.89,0.0,0.624,6.3260000000000005,97.7,2.271,4,437,21.2,12.26,19.6
132,0.59005,0.0,21.89,0.0,0.624,6.372000000000001,97.9,2.3274,4,437,21.2,11.12,23.0
133,0.32982,,,0.0,0.624,5.822,95.4,2.4699,4,437,21.2,15.03,18.4
134,0.9761700000000001,0.0,21.89,0.0,0.624,5.757000000000001,98.4,2.346,4,437,21.2,17.31,15.6
135,0.55778,0.0,21.89,0.0,0.624,6.335,98.2,2.1107,4,437,21.2,16.96,18.1
136,0.32264,0.0,21.89,0.0,0.624,5.942,93.5,1.9669,4,437,21.2,16.9,17.4
137,0.35233000000000003,0.0,21.89,0.0,0.624,6.454,98.4,1.8498,4,437,21.2,14.59,17.1
138,0.2498,0.0,21.89,0.0,0.624,5.857,,1.6686,4,437,21.2,21.32,13.3
139,0.54452,0.0,21.89,0.0,0.624,6.151,97.9,1.6687,4,437,21.2,18.46,17.8
140,0.2909,0.0,21.89,0.0,0.624,6.1739999999999995,93.6,1.6119,4,437,21.2,24.16,14.0
141,1.6286399999999999,0.0,21.89,0.0,0.624,5.019,100.0,1.4394,4,437,21.2,34.41,14.4
142,3.32105,0.0,19.58,1.0,0.871,5.403,100.0,1.3216,5,403,14.7,26.82,13.4
143,4.0974,0.0,19.58,0.0,0.871,5.468,100.0,1.4118,5,403,14.7,26.42,15.6
144,2.7797400000000003,0.0,19.58,0.0,0.871,4.9030000000000005,97.8,1.3459,5,403,14.7,29.29,11.8
145,2.37934,0.0,19.58,0.0,0.871,6.13,100.0,1.4191,5,403,14.7,27.8,13.8
146,2.15505,,19.58,0.0,0.871,5.627999999999999,100.0,1.5166,5,403,14.7,16.65,15.6
147,2.36862,0.0,,0.0,0.871,4.926,95.7,1.4608,5,403,14.7,29.53,14.6
148,2.3309900000000003,0.0,,0.0,0.871,5.186,93.8,1.5296,5,403,14.7,28.32,17.8
149,2.7339700000000002,0.0,19.58,0.0,0.871,5.597,94.9,1.5257,5,403,14.7,21.45,15.4
150,1.6566,0.0,19.58,0.0,0.871,6.122000000000001,,1.618,5,403,14.7,14.1,21.5
151,1.49632,0.0,19.58,0.0,0.871,5.404,100.0,1.5916,5,403,14.7,13.28,19.6
152,1.12658,0.0,19.58,,0.871,5.012,88.0,1.6102,5,403,14.7,12.12,15.3
153,2.14918,0.0,19.58,0.0,0.871,5.709,98.5,1.6232,5,403,14.7,15.79,19.4
154,1.41385,0.0,19.58,1.0,0.871,6.129,96.0,1.7494,5,403,14.7,15.12,17.0
155,3.5350099999999998,0.0,19.58,1.0,0.871,6.152,,1.7455,5,403,14.7,15.02,15.6
156,2.4466799999999997,0.0,19.58,0.0,0.871,5.272,94.0,1.7364,5,403,14.7,16.14,13.1
157,1.22358,,19.58,0.0,0.605,6.943,97.4,1.8773,5,403,14.7,4.59,41.3
158,1.34284,0.0,19.58,0.0,0.605,6.066,100.0,1.7573,5,403,14.7,6.43,24.3
159,1.4250200000000002,0.0,19.58,0.0,0.871,6.51,100.0,1.7659,5,403,14.7,7.39,23.3
160,1.27346,0.0,19.58,1.0,0.605,6.25,92.6,1.7984,5,403,14.7,5.5,27.0
161,1.46336,0.0,19.58,0.0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50.0
162,1.8337700000000001,0.0,19.58,1.0,0.605,7.8020000000000005,98.2,2.0407,5,403,14.7,1.92,50.0
163,1.51902,0.0,19.58,1.0,0.605,8.375,,2.162,5,403,14.7,3.32,50.0
164,2.2423599999999997,0.0,19.58,0.0,0.605,5.854,91.8,2.4219999999999997,5,403,14.7,11.64,22.7
165,2.924,0.0,19.58,0.0,0.605,6.101,93.0,2.2834,5,403,14.7,9.81,25.0
166,2.01019,0.0,19.58,0.0,0.605,7.928999999999999,96.2,2.0459,5,403,14.7,3.7,50.0
167,1.8002799999999999,,19.58,0.0,0.605,5.877000000000001,79.2,2.4259,5,403,14.7,12.14,23.8
168,2.3004,0.0,19.58,0.0,0.605,6.319,96.1,2.1,5,403,14.7,11.1,23.8
169,2.4495299999999998,0.0,19.58,0.0,0.605,6.402,95.2,2.2625,5,403,14.7,11.32,22.3
170,1.2074200000000002,0.0,19.58,0.0,0.605,5.875,94.6,2.4259,5,403,14.7,14.43,17.4
171,2.3139,0.0,19.58,0.0,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1
172,0.13914,0.0,4.05,0.0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69,23.1
173,0.09178,0.0,,0.0,0.51,6.416,,2.6463,5,296,16.6,9.04,23.6
174,0.08447,0.0,4.05,0.0,0.51,5.859,68.7,2.7019,5,296,16.6,9.64,22.6
175,0.06663999999999999,0.0,4.05,0.0,0.51,6.546,33.1,3.1323,5,296,16.6,5.33,29.4
176,0.07022,0.0,4.05,0.0,0.51,6.02,47.2,3.5549,5,296,16.6,10.11,23.2
177,0.05425,0.0,,0.0,0.51,6.315,73.4,3.3175,5,296,16.6,6.29,24.6
178,0.06642,0.0,4.05,0.0,0.51,6.86,74.4,2.9153,5,296,16.6,6.92,29.9
179,0.0578,0.0,2.46,0.0,0.488,6.98,58.4,2.8289999999999997,3,193,17.8,5.04,37.2
180,0.06588,0.0,2.46,0.0,0.488,7.765,83.3,2.741,3,193,17.8,7.56,39.8
181,0.06888,0.0,2.46,0.0,0.488,6.144,62.2,2.5979,3,193,17.8,9.45,36.2
182,0.09103,0.0,2.46,0.0,0.488,7.155,92.2,2.7006,3,193,17.8,4.82,37.9
183,,0.0,2.46,0.0,0.488,6.563,95.6,2.847,3,193,17.8,5.68,32.5
184,0.08308,0.0,2.46,0.0,0.488,5.604,89.8,2.9879,3,193,17.8,13.98,26.4
185,0.06047,0.0,2.46,0.0,0.488,6.153,68.8,3.2797,3,193,17.8,13.15,29.6
186,0.05602000000000001,,2.46,0.0,0.488,7.831,53.6,3.1992,3,193,17.8,4.45,50.0
187,0.07875,45.0,3.44,0.0,0.43700000000000006,6.782,41.1,3.7886,5,398,15.2,6.68,32.0
188,0.12579,45.0,3.44,0.0,0.43700000000000006,6.556,29.1,4.5667,5,398,15.2,4.56,29.8
189,0.0837,45.0,3.44,0.0,0.43700000000000006,7.185,38.9,4.5667,5,398,15.2,5.39,34.9
190,0.09068,45.0,3.44,0.0,0.43700000000000006,6.9510000000000005,21.5,6.4798,5,398,15.2,5.1,37.0
191,,45.0,3.44,0.0,0.43700000000000006,6.739,30.8,6.4798,5,398,15.2,4.69,30.5
192,,45.0,3.44,0.0,0.43700000000000006,7.178,26.3,6.4798,5,398,15.2,2.87,36.4
193,0.02187,60.0,2.93,0.0,0.401,6.8,,6.2196,1,265,15.6,5.03,31.1
194,0.01439,60.0,2.93,0.0,0.401,6.604,18.8,6.2196,1,265,15.6,4.38,29.1
195,0.01381,80.0,0.46,0.0,0.42200000000000004,7.875,32.0,5.6484,4,255,14.4,2.97,50.0
196,,80.0,1.52,0.0,0.40399999999999997,7.287000000000001,34.1,7.309,2,329,12.6,4.08,33.3
197,0.04666,80.0,1.52,0.0,0.40399999999999997,7.107,36.6,7.309,2,329,12.6,8.61,30.3
198,0.03768,80.0,1.52,0.0,0.40399999999999997,7.274,38.3,7.309,2,329,12.6,6.62,34.6
199,0.0315,95.0,1.47,0.0,0.40299999999999997,6.975,15.3,7.6534,3,402,17.0,4.56,34.9
200,0.01778,95.0,1.47,0.0,0.40299999999999997,7.135,13.9,7.6534,3,402,17.0,4.45,32.9
201,0.03445,82.5,2.03,0.0,0.415,6.162000000000001,38.4,6.27,2,348,14.7,7.43,24.1
202,0.021769999999999998,82.5,2.03,0.0,0.415,7.61,15.7,6.27,2,348,14.7,3.11,42.3
203,0.0351,95.0,2.68,0.0,0.4161,7.853,33.2,5.118,4,224,14.7,3.81,48.5
204,0.02009,95.0,2.68,0.0,0.4161,8.033999999999999,31.9,5.118,4,224,14.7,2.88,50.0
205,0.13642,,10.59,0.0,0.489,5.891,22.3,3.9454,4,277,18.6,10.87,22.6
206,0.22969,0.0,10.59,,0.489,6.3260000000000005,52.5,4.3549,4,277,18.6,10.97,24.4
207,0.25199,0.0,10.59,0.0,0.489,5.7829999999999995,72.7,4.3549,4,277,18.6,,22.5
208,0.13587,0.0,10.59,1.0,0.489,6.064,59.1,4.2392,4,277,18.6,14.66,24.4
209,0.43571000000000004,0.0,10.59,1.0,0.489,5.343999999999999,100.0,3.875,4,277,18.6,23.09,20.0
210,0.17446,,10.59,1.0,0.489,5.96,92.1,3.8771,4,277,18.6,17.27,21.7
211,0.37578,0.0,10.59,1.0,0.489,5.404,88.6,3.665,4,277,18.6,23.98,19.3
212,0.21719000000000002,0.0,10.59,1.0,0.489,5.807,53.8,3.6526,4,277,18.6,16.03,22.4
213,0.14052,0.0,10.59,0.0,0.489,6.375,32.3,3.9454,4,277,18.6,9.38,28.1
214,0.28955,0.0,10.59,0.0,0.489,5.412000000000001,9.8,3.5875,4,277,18.6,29.55,23.7
215,0.19802,0.0,10.59,0.0,0.489,6.182,,3.9454,4,277,18.6,9.47,25.0
216,0.0456,0.0,13.89,1.0,0.55,5.888,56.0,3.1121,5,276,16.4,13.51,23.3
217,0.07013,0.0,13.89,0.0,0.55,6.642,85.1,3.4211,5,276,16.4,9.69,28.7
218,0.11069000000000001,0.0,13.89,1.0,0.55,5.9510000000000005,93.8,2.8893,5,276,16.4,17.92,21.5
219,0.11425,0.0,,1.0,0.55,6.372999999999999,92.4,3.3633,5,276,16.4,10.5,23.0
220,0.35809,0.0,6.2,1.0,0.507,6.9510000000000005,88.5,2.8617,8,307,17.4,9.71,26.7
221,0.40771,0.0,6.2,1.0,0.507,6.164,91.3,3.048,8,307,17.4,21.46,21.7
222,0.62356,0.0,6.2,1.0,0.507,6.879,77.7,3.2721,8,307,17.4,9.93,27.5
223,0.6147,0.0,6.2,0.0,0.507,6.617999999999999,80.8,3.2721,8,307,17.4,7.6,30.1
224,0.31533,0.0,6.2,0.0,0.504,8.266,78.3,2.8944,8,307,17.4,4.14,44.8
225,0.52693,0.0,6.2,0.0,0.504,8.725,83.0,2.8944,8,307,17.4,4.63,50.0
226,0.38214000000000004,0.0,6.2,0.0,0.504,8.04,86.5,3.2157,8,307,17.4,,37.6
227,0.41238,0.0,6.2,0.0,0.504,7.162999999999999,79.9,3.2157,8,307,17.4,6.36,31.6
228,0.29819,0.0,6.2,0.0,0.504,7.686,17.0,3.3751,8,307,17.4,,46.7
229,,0.0,6.2,0.0,0.504,6.5520000000000005,21.4,3.3751,8,307,17.4,3.76,31.5
230,0.537,0.0,6.2,0.0,0.504,5.981,68.1,3.6715,8,307,17.4,11.65,24.3
231,0.46296000000000004,0.0,6.2,0.0,0.504,7.412000000000001,76.9,3.6715,8,307,17.4,5.25,31.7
232,0.57529,0.0,6.2,0.0,0.507,8.337,73.3,3.8384,8,307,17.4,2.47,41.7
233,0.33147,0.0,6.2,0.0,0.507,8.247,,3.6519,8,307,17.4,3.95,48.3
234,0.44791000000000003,0.0,6.2,1.0,0.507,6.726,66.5,3.6519,8,307,17.4,8.05,29.0
235,0.33045,0.0,6.2,0.0,0.507,6.086,61.5,3.6519,8,307,17.4,10.88,24.0
236,,0.0,6.2,1.0,0.507,6.631,76.5,4.148,8,307,17.4,9.54,25.1
237,0.51183,0.0,6.2,0.0,0.507,7.358,71.6,4.148,8,307,17.4,4.73,31.5
238,0.08244,,4.93,0.0,0.428,6.481,18.5,6.1899,6,300,16.6,6.36,23.7
239,0.09252,30.0,4.93,0.0,0.428,6.606,42.2,6.1899,6,300,16.6,7.37,23.3
240,0.11329000000000002,30.0,4.93,,0.428,6.897,54.3,6.3361,6,300,16.6,11.38,22.0
241,,30.0,4.93,0.0,0.428,6.095,65.1,6.3361,6,300,16.6,12.4,20.1
242,0.1029,30.0,4.93,0.0,0.428,6.358,52.9,7.0355,6,300,16.6,11.22,22.2
243,0.12757000000000002,30.0,4.93,0.0,0.428,6.393,7.8,7.0355,6,300,16.6,5.19,23.7
244,0.20608,22.0,5.86,0.0,0.431,5.593,76.5,7.9549,7,330,19.1,12.5,17.6
245,0.19133,22.0,,,0.431,5.605,70.2,7.9549,7,330,19.1,18.46,18.5
246,0.33983,22.0,5.86,0.0,0.431,6.108,34.9,8.0555,7,330,19.1,9.16,24.3
247,0.19657,22.0,5.86,0.0,0.431,6.226,79.2,8.0555,7,330,19.1,10.15,20.5
248,0.16439,22.0,5.86,0.0,0.431,6.433,49.1,7.8265,7,330,19.1,9.52,24.5
249,0.19072999999999998,22.0,5.86,0.0,0.431,6.718,17.5,7.8265,7,330,19.1,6.56,26.2
250,0.1403,22.0,5.86,0.0,0.431,6.487,13.0,7.3967,7,330,19.1,5.9,24.4
251,0.21409,22.0,5.86,0.0,0.431,6.438,8.9,7.3967,7,330,19.1,3.59,24.8
252,0.08221,22.0,5.86,0.0,0.431,6.957000000000001,6.8,8.9067,7,330,19.1,3.53,29.6
253,0.36894,22.0,5.86,0.0,0.431,8.259,8.4,8.9067,7,330,19.1,3.54,42.8
